game_id,similar_games
108800,"[10150, 17330, 17300, 287390, 115320]"
109600,"[47410, 228280, 385770, 264200, 17500]"
110800,"[228280, 47780, 2600, 12200, 330830]"
113200,"[250900, 216150, 247080, 230050, 94400]"
113400,"[206210, 317360, 291480, 313160, 212070]"
115100,"[12810, 225080, 65930, 208650, 235540]"
115320,"[10150, 108800, 287390, 17300, 16450]"
200170,"[207140, 115100, 12810, 65930, 208650]"
200210,"[265630, 223470, 346010, 334230, 99900]"
200510,"[216890, 65980, 225420, 202200, 92800]"
200710,"[41500, 239070, 268050, 287450, 216150]"
200900,"[94400, 241600, 250320, 238010, 232790]"
201790,"[12810, 115100, 231160, 225080, 3830]"
201810,"[350080, 305620, 3920, 287450, 268050]"
201870,"[55100, 41070, 307780, 24740, 67370]"
202200,"[208580, 32370, 9900, 266840, 58520]"
202750,"[108710, 238090, 258520, 310560, 50300]"
202970,"[209160, 232890, 9200, 302510, 50300]"
203140,"[267530, 227100, 212630, 235600, 216150]"
203160,"[285310, 264710, 290790, 263760, 256290]"
203290,"[33930, 33900, 221100, 263760, 252490]"
203630,"[226840, 228260, 289130, 49470, 91200]"
203770,"[42960, 236850, 25890, 208520, 212500]"
204030,"[17460, 24980, 48700, 47810, 39150]"
204100,"[45760, 50300, 223710, 21100, 97330]"
204360,"[210770, 17470, 268050, 214340, 332310]"
204880,"[244160, 58610, 222750, 251060, 249050]"
205100,"[237930, 207170, 238090, 47780, 92800]"
205650,"[219890, 232430, 232790, 224760, 32360]"
206190,"[265930, 233720, 332800, 319510, 221260]"
206210,"[113400, 24200, 291480, 212070, 317360]"
206420,"[221040, 234080, 225540, 242050, 24740]"
206440,"[238430, 218680, 70000, 236090, 210770]"
206480,"[39120, 233450, 98200, 9880, 313120]"
207140,"[200170, 335240, 291550, 265300, 268050]"
207170,"[228280, 291650, 20920, 300550, 205100]"
207230,"[242720, 240320, 335240, 212500, 344760]"
207690,"[40700, 224760, 22000, 239820, 270850]"
208200,"[9350, 40950, 226720, 6000, 294860]"
208500,"[40390, 44350, 8600, 255220, 1930]"
208520,"[42960, 203770, 25890, 236850, 316010]"
208580,"[32370, 9900, 202200, 300550, 266840]"
208650,"[115100, 12810, 235540, 225080, 65930]"
208730,"[22100, 268420, 242860, 256290, 268750]"
209000,"[249130, 244210, 208650, 115320, 290790]"
209080,"[63710, 274940, 22600, 26800, 33460]"
209160,"[202970, 232890, 9200, 226720, 302510]"
210770,"[238430, 70000, 236090, 17500, 206440]"
211400,"[205650, 35130, 219890, 232790, 220160]"
211500,"[44350, 8600, 333930, 255220, 241560]"
211820,"[248820, 262060, 1200, 215080, 8500]"
212070,"[291480, 333930, 301520, 113400, 206210]"
212160,"[339610, 307690, 272510, 323470, 299360]"
212500,"[242720, 207230, 240320, 42960, 203770]"
212630,"[226860, 39680, 4780, 288470, 9340]"
212680,"[359320, 107200, 220200, 241600, 202200]"
212800,"[319510, 17080, 265930, 332800, 284160]"
213670,"[280790, 331470, 9900, 214340, 299360]"
214340,"[252410, 102600, 241600, 258520, 269210]"
214420,"[130, 50, 70, 1840, 30]"
214490,"[226720, 9350, 40950, 6030, 294860]"
214770,"[9480, 231160, 3830, 205650, 219890]"
214950,"[4780, 232890, 4770, 4570, 226860]"
215080,"[102600, 252410, 269210, 241600, 245170]"
215470,"[346110, 243470, 104900, 313120, 233450]"
215530,"[220440, 102500, 4570, 234080, 235460]"
216150,"[113200, 250900, 24200, 247080, 230050]"
216890,"[200510, 245470, 291650, 39140, 15620]"
218230,"[4920, 212800, 323470, 264710, 17080]"
218620,"[274170, 307690, 45740, 355840, 238090]"
218640,"[268420, 268750, 242860, 256290, 330830]"
218680,"[206440, 238430, 233720, 265930, 332800]"
219150,"[274170, 248820, 247080, 300550, 238210]"
219640,"[6370, 233130, 344760, 108600, 3910]"
219890,"[205650, 232790, 232430, 224760, 32360]"
220160,"[205650, 219890, 232430, 35130, 232790]"
220200,"[3720, 48240, 58610, 259080, 245620]"
220240,"[263760, 233270, 289950, 204030, 245170]"
220440,"[215530, 102500, 4570, 234080, 235460]"
220700,"[243470, 107100, 282140, 98800, 346900]"
221040,"[67370, 17410, 21090, 21690, 204100]"
221100,"[203290, 212160, 212070, 223710, 333930]"
221260,"[265930, 332800, 319510, 233720, 206190]"
221640,"[65800, 238460, 63200, 263760, 212800]"
221910,"[257510, 221260, 340, 316790, 63710]"
222480,"[55100, 41070, 201870, 307780, 99900]"
222730,"[340, 252410, 231160, 241600, 102600]"
222750,"[251060, 58610, 244160, 204880, 244850]"
222880,"[55110, 262410, 287450, 4570, 1200]"
223470,"[200210, 265630, 346010, 17390, 233720]"
223710,"[242700, 45740, 204100, 227100, 4580]"
224260,"[299360, 237310, 1840, 355840, 367450]"
224480,"[332310, 70400, 239820, 270850, 236090]"
224600,"[99900, 206480, 41800, 233290, 264710]"
224760,"[40700, 205650, 207690, 219890, 232430]"
225080,"[115100, 12810, 21690, 3830, 201790]"
225420,"[228260, 255710, 203630, 226840, 289130]"
225540,"[236430, 335300, 287700, 234140, 298110]"
226720,"[9350, 40950, 294860, 6000, 253980]"
226840,"[203630, 228260, 289130, 49470, 91200]"
226860,"[4780, 212630, 288470, 9340, 39680]"
227100,"[242700, 223710, 45740, 274940, 302510]"
227300,"[314160, 289950, 313160, 267530, 211500]"
227940,"[380600, 212070, 242860, 284160, 214420]"
228200,"[231430, 20540, 7830, 244450, 242860]"
228260,"[226840, 203630, 289130, 49470, 91200]"
228280,"[207170, 110800, 291650, 109600, 20920]"
228300,"[288470, 226860, 212630, 4780, 239160]"
230050,"[346900, 113200, 250900, 94400, 385770]"
230410,"[212160, 286160, 228280, 299360, 203290]"
231160,"[3830, 236090, 214770, 201790, 238430]"
231430,"[20540, 7830, 228200, 244450, 287450]"
232090,"[1250, 208500, 274170, 55100, 41070]"
232430,"[205650, 219890, 232790, 32360, 224760]"
232790,"[205650, 219890, 232430, 32360, 224760]"
232890,"[64000, 214950, 325610, 231430, 209160]"
233130,"[40390, 1930, 222480, 238430, 268750]"
233270,"[340, 3900, 204100, 6020, 40970]"
233290,"[258520, 108710, 202750, 35130, 310560]"
233450,"[98200, 3720, 313120, 206480, 39120]"
233720,"[265930, 17390, 332800, 319510, 206190]"
234080,"[215530, 102500, 220440, 228260, 226840]"
234140,"[287390, 17300, 108800, 16450, 13520]"
234630,"[244210, 255220, 8600, 211500, 44350]"
234650,"[226840, 203630, 289130, 228260, 91200]"
235460,"[12810, 115100, 225080, 235600, 220440]"
235540,"[12810, 115100, 65930, 208650, 21690]"
235600,"[115100, 235460, 235540, 12810, 226860]"
236090,"[238430, 70000, 231160, 70400, 210770]"
236110,"[264200, 272510, 265300, 210770, 272470]"
236390,"[383080, 298240, 214420, 242860, 210770]"
236430,"[335300, 265300, 225540, 42910, 216150]"
236850,"[25890, 203770, 42960, 208520, 212500]"
237310,"[201790, 4000, 115100, 207230, 12810]"
237930,"[205100, 305620, 268050, 350080, 1200]"
237990,"[203630, 226840, 234650, 228260, 289130]"
238010,"[250320, 305620, 200900, 10150, 17410]"
238090,"[202750, 108710, 287390, 17300, 286690]"
238210,"[91200, 203630, 41800, 1930, 300550]"
238320,"[265210, 264710, 47780, 214490, 220700]"
238430,"[17500, 70000, 210770, 236090, 206440]"
238460,"[221640, 282140, 263760, 222730, 214420]"
238960,"[304030, 272470, 248820, 253030, 262060]"
239030,"[391540, 98800, 339800, 232430, 205650]"
239070,"[234650, 289130, 91200, 105600, 107200]"
239140,"[288470, 383080, 221040, 323470, 235540]"
239160,"[246620, 2600, 228300, 262410, 234080]"
239200,"[57300, 282140, 339800, 92800, 17470]"
239820,"[270850, 332310, 58520, 22000, 207690]"
240320,"[242720, 207230, 335240, 212500, 344760]"
241560,"[255220, 44350, 8600, 211500, 333930]"
241600,"[252410, 102600, 215080, 269210, 200900]"
242050,"[206190, 233720, 265930, 332800, 319510]"
242700,"[223710, 45740, 227100, 274940, 235540]"
242720,"[207230, 240320, 335240, 212500, 344760]"
242760,"[285310, 264710, 267530, 17470, 307690]"
242860,"[268420, 256290, 6910, 268750, 208730]"
242920,"[282070, 7600, 39680, 313120, 290080]"
243470,"[220700, 215470, 249050, 200900, 241600]"
244160,"[58610, 222750, 204880, 251060, 244850]"
244210,"[255220, 234630, 44350, 8600, 211500]"
244450,"[251060, 58610, 244160, 222750, 231430]"
244850,"[58610, 244160, 222750, 251060, 4920]"
245170,"[269210, 102600, 252410, 236090, 215080]"
245470,"[39140, 39150, 7600, 289650, 316790]"
245620,"[57690, 48240, 3720, 11450, 40300]"
246620,"[239160, 2600, 228300, 233450, 98200]"
247000,"[20570, 55150, 248390, 15620, 291650]"
247080,"[113200, 250900, 98800, 391540, 219150]"
248390,"[7600, 316010, 247000, 40300, 291650]"
248570,"[207230, 344760, 242720, 304050, 240320]"
248820,"[219150, 70000, 211820, 304030, 238960]"
249050,"[290790, 244160, 204880, 58610, 244850]"
249130,"[209000, 244210, 32370, 259080, 208580]"
250320,"[238010, 254700, 200900, 330830, 10150]"
250400,"[355840, 262410, 41000, 282440, 39150]"
250900,"[113200, 216150, 247080, 230050, 262060]"
251060,"[222750, 58610, 244160, 204880, 244850]"
251570,"[4770, 280, 248570, 313120, 307690]"
